epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.06123,1.68652,4.13172,1.11255,0.00628,0.58971,0.01481,0.0073,1.46047,3.88937,0.93996,0.00024,0.00024,0.00024
2,7.87265,1.56099,2.32845,0.98051,0.00418,0.39221,0.00293,0.00149,1.4553,3.99675,0.99157,0.00049802,0.00049802,0.00049802
3,11.6908,1.48155,1.62901,0.99718,0.00619,0.58136,0.0059,0.00271,1.40209,inf,0.97556,0.000753981,0.000753981,0.000753981
4,15.4899,1.44005,1.47065,0.98624,0.00572,0.53686,0.00842,0.00431,1.55446,6.67872,1.01919,0.00100788,0.00100788,0.00100788
5,19.3013,1.4156,1.31701,1.00357,0.98122,0.07268,0.15361,0.09887,1.62423,3.1834,1.07657,0.00125972,0.00125972,0.00125972
6,23.1104,1.43626,1.26286,0.99497,0.54167,0.09597,0.12039,0.08159,1.50427,2.72026,1.03717,0.00150951,0.00150951,0.00150951
7,26.917,1.4519,1.17565,1.00504,0.26796,0.15855,0.21118,0.10635,1.57601,2.26844,1.07196,0.00175723,0.00175723,0.00175723
8,30.7738,1.47408,1.06744,1.01399,0.08285,0.39499,0.08228,0.03578,1.62823,2.63874,1.11127,0.00194456,0.00194456,0.00194456
9,34.6908,1.45051,0.99416,1.00416,0.34206,0.55242,0.25888,0.11157,1.63584,1.9108,1.11151,0.00193664,0.00193664,0.00193664
10,38.5285,1.43623,0.92924,1.01039,0.33455,0.43533,0.30224,0.14383,1.82823,1.64719,1.14752,0.00192872,0.00192872,0.00192872
11,42.328,1.40304,0.87293,0.99695,0.37393,0.4854,0.31302,0.13848,1.84624,2.03329,1.19527,0.0019208,0.0019208,0.0019208
12,46.1389,1.37837,0.83448,0.99331,0.53085,0.58414,0.57585,0.3216,1.43595,1.56597,1.04248,0.00191288,0.00191288,0.00191288
13,50.0099,1.35804,0.8098,0.98271,0.67025,0.6217,0.63909,0.30824,1.56609,1.59556,1.08536,0.00190496,0.00190496,0.00190496
14,53.7705,1.3079,0.78514,0.97992,0.60815,0.52156,0.55827,0.30611,1.45607,1.25705,1.03616,0.00189704,0.00189704,0.00189704
15,57.6035,1.3376,0.75909,0.98775,0.29615,0.41725,0.20949,0.09493,1.7471,4.51871,1.16656,0.00188912,0.00188912,0.00188912
16,61.3828,1.35284,0.76239,0.97276,0.30269,0.31015,0.20673,0.11223,1.54316,3.12665,1.12038,0.0018812,0.0018812,0.0018812
