epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.10829,1.68652,4.13172,1.11255,0.00628,0.58971,0.01481,0.0073,1.46047,3.88937,0.93996,0.00024,0.00024,0.00024
2,7.90824,1.57984,2.35704,0.9854,0.00606,0.56885,0.00492,0.00255,1.38829,4.23071,0.95842,0.000492612,0.000492612,0.000492612
3,11.7318,1.43289,1.5909,0.9782,0.00541,0.50765,0.00415,0.00216,1.44504,27.6164,0.99815,0.00073754,0.00073754,0.00073754
4,15.6132,1.41877,1.45588,0.9817,0.0068,0.63839,0.00828,0.0041,1.46299,21.1955,0.99994,0.000974785,0.000974785,0.000974785
5,19.4235,1.43655,1.35478,1.01752,0.98176,0.07487,0.14133,0.08835,1.53151,3.26813,1.027,0.00120435,0.00120435,0.00120435
6,23.2316,1.43,1.25767,0.99634,0.4636,0.10578,0.11966,0.07101,1.53833,2.92918,1.09328,0.00142622,0.00142622,0.00142622
7,27.0623,1.42309,1.15521,1.00215,0.48886,0.08762,0.13039,0.08175,1.52801,2.53965,1.07901,0.00164042,0.00164042,0.00164042
8,30.9021,1.4642,1.09233,1.00858,0.2483,0.28898,0.23749,0.12184,1.58599,2.02767,1.04155,0.00179313,0.00179313,0.00179313
9,34.8508,1.45913,1.02717,1.00855,0.64453,0.4993,0.50086,0.18192,1.7985,1.82437,1.14103,0.00176358,0.00176358,0.00176358
10,38.7429,1.41972,0.94191,1.00062,0.38209,0.09736,0.13352,0.08148,1.53823,3.41673,1.08496,0.00173403,0.00173403,0.00173403
11,42.6867,1.3568,0.87983,0.97862,0.36772,0.45758,0.38062,0.18529,1.77204,1.58382,1.15316,0.00170448,0.00170448,0.00170448
12,46.5989,1.34232,0.82058,0.98669,0.21344,0.50348,0.28502,0.16465,1.55567,2.83269,1.03717,0.00167493,0.00167493,0.00167493
13,50.479,1.37958,0.81772,0.98989,0.66543,0.61057,0.62972,0.28309,1.73382,1.46985,1.12505,0.00164537,0.00164537,0.00164537
14,54.3651,1.32843,0.78477,0.98165,0.72279,0.67872,0.69643,0.36743,1.41028,1.05973,0.98863,0.00161582,0.00161582,0.00161582
15,58.3017,1.31841,0.77453,0.9809,0.79326,0.73435,0.78927,0.40983,1.39602,0.93248,0.98806,0.00158627,0.00158627,0.00158627
16,62.1188,1.31512,0.75266,0.96726,0.78032,0.59779,0.69665,0.34851,1.49328,1.16471,1.0273,0.00155672,0.00155672,0.00155672
17,66.0381,1.31918,0.73904,0.96568,0.8058,0.7274,0.78939,0.43695,1.30659,0.89771,0.96318,0.00152716,0.00152716,0.00152716
18,69.9104,1.2688,0.70921,0.95636,0.82747,0.72042,0.79186,0.42552,1.30498,1.00585,0.95612,0.00149761,0.00149761,0.00149761
19,73.7945,1.26114,0.70223,0.95495,0.64826,0.71261,0.7012,0.38465,1.33145,1.19829,0.9713,0.00146806,0.00146806,0.00146806
20,77.68,1.24987,0.68831,0.96544,0.85682,0.75738,0.83861,0.44165,1.34325,0.71569,0.96689,0.00143851,0.00143851,0.00143851
21,81.573,1.29281,0.70223,0.95063,0.90321,0.79972,0.86902,0.47499,1.26889,0.69488,0.95381,0.00140896,0.00140896,0.00140896
22,85.4203,1.27481,0.67658,0.95552,0.88371,0.80323,0.86424,0.47808,1.26841,0.70663,0.94546,0.0013794,0.0013794,0.0013794
23,89.3028,1.22858,0.66602,0.94811,0.87389,0.85118,0.88824,0.48318,1.2564,0.69847,0.95124,0.00134985,0.00134985,0.00134985
24,93.1508,1.20997,0.65144,0.94982,0.84019,0.77886,0.83645,0.46181,1.29262,0.71473,0.95532,0.0013203,0.0013203,0.0013203
25,96.984,1.24504,0.65879,0.94274,0.85891,0.82127,0.86699,0.48122,1.25754,0.67765,0.94154,0.00129075,0.00129075,0.00129075
26,100.849,1.24122,0.65718,0.94063,0.86794,0.81363,0.88101,0.46247,1.35015,0.70058,0.96828,0.00126119,0.00126119,0.00126119
27,104.683,1.22758,0.64329,0.94476,0.89259,0.79555,0.8736,0.4792,1.29863,0.66192,0.95739,0.00123164,0.00123164,0.00123164
28,108.529,1.22351,0.63894,0.94717,0.88108,0.76912,0.84325,0.46553,1.26704,0.65249,0.9513,0.00120209,0.00120209,0.00120209
29,112.363,1.18611,0.61764,0.93743,0.88731,0.80807,0.87869,0.49173,1.24759,0.64359,0.9484,0.00117254,0.00117254,0.00117254
30,116.175,1.18978,0.61542,0.93653,0.91469,0.82016,0.90041,0.49917,1.30249,0.59703,0.95023,0.00114299,0.00114299,0.00114299
31,120.019,1.17637,0.61213,0.94035,0.9195,0.84006,0.90831,0.5149,1.22566,0.58312,0.94669,0.00111343,0.00111343,0.00111343
32,123.824,1.16765,0.60214,0.92296,0.88324,0.83866,0.89111,0.49528,1.23562,0.62034,0.94446,0.00108388,0.00108388,0.00108388
33,127.675,1.16556,0.60445,0.93265,0.90781,0.84909,0.91507,0.52082,1.20608,0.58476,0.93303,0.00105433,0.00105433,0.00105433
34,131.501,1.16024,0.60397,0.91945,0.88286,0.83861,0.90064,0.51907,1.20653,0.57965,0.93175,0.00102478,0.00102478,0.00102478
35,135.374,1.13931,0.57896,0.9219,0.8818,0.85081,0.90928,0.53262,1.19107,0.56711,0.91928,0.000995224,0.000995224,0.000995224
36,139.23,1.14679,0.58417,0.92463,0.91612,0.85535,0.91696,0.53596,1.23329,0.56676,0.92606,0.000965672,0.000965672,0.000965672
37,143.13,1.15384,0.59098,0.92224,0.92109,0.86048,0.93057,0.54205,1.1791,0.54857,0.91533,0.000936119,0.000936119,0.000936119
38,146.956,1.10528,0.55891,0.91392,0.88286,0.85951,0.90596,0.52457,1.17579,0.57622,0.91758,0.000906567,0.000906567,0.000906567
39,150.831,1.11655,0.56051,0.91383,0.91763,0.8637,0.9202,0.53728,1.18268,0.55344,0.91823,0.000877015,0.000877015,0.000877015
40,154.64,1.12452,0.56914,0.91351,0.8421,0.85953,0.89262,0.50801,1.20368,0.59119,0.92797,0.000847463,0.000847463,0.000847463
41,158.4,1.13031,0.56777,0.91034,0.84566,0.85349,0.89726,0.47675,1.30499,0.59488,0.94832,0.00081791,0.00081791,0.00081791
42,162.148,1.12042,0.56625,0.91216,0.90312,0.81681,0.89501,0.50493,1.19991,0.56937,0.92224,0.000788358,0.000788358,0.000788358
43,165.9,1.13523,0.56562,0.91107,0.87091,0.88039,0.91496,0.52903,1.17826,0.56401,0.92023,0.000758806,0.000758806,0.000758806
44,169.64,1.10672,0.55567,0.90205,0.91976,0.85396,0.9257,0.54468,1.18011,0.54388,0.91857,0.000729254,0.000729254,0.000729254
45,173.4,1.12195,0.55691,0.91311,0.90232,0.86648,0.91631,0.52926,1.18283,0.54267,0.91966,0.000699701,0.000699701,0.000699701
46,177.161,1.12465,0.55228,0.91342,0.91173,0.879,0.92704,0.54149,1.15848,0.53807,0.91436,0.000670149,0.000670149,0.000670149
47,180.899,1.08659,0.53759,0.89814,0.90203,0.88358,0.92472,0.54945,1.14446,0.53474,0.91245,0.000640597,0.000640597,0.000640597
48,184.655,1.0893,0.54062,0.8991,0.90222,0.88317,0.92837,0.55534,1.14723,0.52355,0.91874,0.000611045,0.000611045,0.000611045
49,188.413,1.05798,0.52195,0.90143,0.89828,0.89569,0.93024,0.55187,1.13853,0.5262,0.91635,0.000581493,0.000581493,0.000581493
50,192.156,1.08494,0.54447,0.90962,0.8949,0.88595,0.92913,0.55602,1.12293,0.51969,0.9109,0.00055194,0.00055194,0.00055194
51,195.922,1.05154,0.52243,0.90258,0.90096,0.88567,0.92739,0.56048,1.14273,0.51621,0.9136,0.000522388,0.000522388,0.000522388
52,199.678,1.06751,0.52953,0.89825,0.92042,0.86648,0.93203,0.56596,1.14592,0.50637,0.91487,0.000492836,0.000492836,0.000492836
53,203.442,1.07754,0.53102,0.9037,0.89677,0.86989,0.9225,0.54031,1.17221,0.51528,0.92157,0.000463284,0.000463284,0.000463284
54,207.177,1.04262,0.50836,0.89022,0.90137,0.86428,0.92093,0.53669,1.16686,0.51115,0.91603,0.000433731,0.000433731,0.000433731
55,210.921,1.05436,0.5118,0.90062,0.90186,0.87483,0.92652,0.54801,1.15925,0.51177,0.91815,0.000404179,0.000404179,0.000404179
56,214.665,1.05493,0.51343,0.89223,0.90725,0.88039,0.9294,0.56279,1.12907,0.49618,0.90765,0.000374627,0.000374627,0.000374627
57,218.411,1.04861,0.50709,0.89417,0.90512,0.88178,0.9225,0.56313,1.12905,0.49505,0.90667,0.000345075,0.000345075,0.000345075
58,222.727,1.03622,0.49217,0.87881,0.90109,0.90125,0.9406,0.5792,1.11637,0.49073,0.90459,0.000315522,0.000315522,0.000315522
59,226.486,1.05509,0.49404,0.88669,0.90975,0.90264,0.93609,0.56825,1.09324,0.48682,0.9004,0.00028597,0.00028597,0.00028597
60,230.266,1.05503,0.49905,0.89465,0.90799,0.87622,0.91957,0.56285,1.11473,0.48819,0.90446,0.000256418,0.000256418,0.000256418
61,234.005,1.02142,0.48515,0.88507,0.91014,0.89708,0.93501,0.57352,1.09787,0.48539,0.89945,0.000226866,0.000226866,0.000226866
62,237.74,1.01473,0.47085,0.88122,0.90518,0.89152,0.93196,0.57716,1.09293,0.48126,0.90306,0.000197313,0.000197313,0.000197313
63,241.468,1.00314,0.475,0.87357,0.9106,0.88456,0.93184,0.56971,1.09859,0.48769,0.9035,0.000167761,0.000167761,0.000167761
64,245.21,1.00729,0.47283,0.87882,0.90836,0.88456,0.93226,0.57458,1.09718,0.48749,0.90277,0.000138209,0.000138209,0.000138209
65,248.94,0.99947,0.46712,0.87094,0.91497,0.88301,0.9324,0.57618,1.09049,0.48121,0.89972,0.000108657,0.000108657,0.000108657
66,252.666,0.98494,0.46385,0.87258,0.91271,0.88706,0.93588,0.58127,1.08921,0.47385,0.90022,7.91045e-05,7.91045e-05,7.91045e-05
67,256.4,0.98399,0.45936,0.86736,0.91913,0.88516,0.93604,0.57895,1.0893,0.46949,0.89949,4.95522e-05,4.95522e-05,4.95522e-05
