epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.91814,1.76736,4.10973,1.27289,0.49041,0.39352,0.35941,0.17917,1.51486,2.31908,1.10965,0.0012,0.0012,0.0012
2,13.433,1.41452,1.49476,1.06398,0.83239,0.70793,0.76946,0.41485,1.28902,1.04735,0.99515,0.00249753,0.00249753,0.00249753
3,19.9886,1.29667,1.05851,0.99071,0.78425,0.70793,0.77445,0.39873,1.4171,0.97084,0.99153,0.00379248,0.00379248,0.00379248
4,26.4944,1.34921,0.93348,0.9974,0.71336,0.76495,0.70453,0.36137,1.44292,0.95591,1.00761,0.00508485,0.00508485,0.00508485
5,32.9883,1.35088,0.86208,0.98875,0.86534,0.77191,0.83058,0.40042,1.38973,1.43504,0.97992,0.00637466,0.00637466,0.00637466
6,39.5366,1.43002,0.86042,1.0019,0.70595,0.69451,0.72507,0.3702,1.40363,7.57131,1.02377,0.00766188,0.00766188,0.00766188
7,46.2473,1.40956,1.06591,1.00431,0.90034,0.36439,0.5538,0.26353,1.43079,inf,1.04299,0.00894654,0.00894654,0.00894654
8,52.8922,1.51408,1.03086,1.01279,0.81308,0.242,0.39112,0.17059,1.63419,inf,1.18863,0.0099307,0.0099307,0.0099307
9,59.5475,1.5156,0.87069,1.01845,0.05074,0.31989,0.19369,0.08409,2.33819,inf,1.57662,0.0099208,0.0099208,0.0099208
10,66.1271,1.45901,0.80028,1.02145,0.08109,0.35049,0.10465,0.05413,1.83122,39.8593,1.38603,0.0099109,0.0099109,0.0099109
11,72.7513,1.48375,0.83346,1.02319,0.16766,0.4395,0.28463,0.14128,1.76857,inf,1.32215,0.009901,0.009901,0.009901
12,79.3718,1.42497,0.79674,1.01186,0.14677,0.47983,0.31503,0.15528,1.7557,inf,1.37253,0.0098911,0.0098911,0.0098911
13,85.8945,1.43716,0.80504,1.01583,0.40871,0.38071,0.32035,0.14952,1.83486,34.1659,1.26648,0.0098812,0.0098812,0.0098812
14,92.4054,1.3871,0.76877,1.0104,0.24373,0.40195,0.261,0.14573,1.55762,13.0194,1.21398,0.0098713,0.0098713,0.0098713
15,98.9642,1.42541,0.76062,1.02722,0.24756,0.34214,0.17783,0.09424,1.75515,10.1594,1.30066,0.0098614,0.0098614,0.0098614
16,105.643,1.40341,0.75843,1.00609,0.15704,0.32267,0.1127,0.05576,1.76936,33.3233,1.23124,0.0098515,0.0098515,0.0098515
17,112.17,1.4114,0.75049,1.0077,0.07373,0.31989,0.0458,0.01834,2.1252,24.8339,1.53667,0.0098416,0.0098416,0.0098416
18,118.937,1.37492,0.71346,0.99504,0.15438,0.45202,0.1436,0.07624,1.63554,17.1471,1.18674,0.0098317,0.0098317,0.0098317
19,125.45,1.31489,0.70499,0.98868,0.15154,0.50487,0.1426,0.08071,1.45084,13.47,1.06443,0.0098218,0.0098218,0.0098218
20,131.833,1.32142,0.69795,0.99735,0.29326,0.33658,0.2193,0.11463,1.78807,9.49081,1.24466,0.0098119,0.0098119,0.0098119
21,138.301,1.36308,0.70681,0.98076,0.79846,0.59509,0.6794,0.34466,1.52356,2.4794,1.11316,0.009802,0.009802,0.009802
22,144.829,1.33384,0.68877,0.98751,0.74177,0.62448,0.67307,0.3433,1.44683,3.37361,1.03014,0.0097921,0.0097921,0.0097921
23,151.325,1.31149,0.68764,0.97552,0.5185,0.3936,0.43098,0.22558,1.63379,6.97512,1.15389,0.0097822,0.0097822,0.0097822
24,157.817,1.27018,0.67016,0.97048,0.6464,0.62546,0.60921,0.33217,1.44842,1.75569,1.03401,0.0097723,0.0097723,0.0097723
25,164.233,1.3036,0.66724,0.97298,0.62712,0.4993,0.53847,0.2899,1.49139,1.39151,1.05396,0.0097624,0.0097624,0.0097624
26,170.709,1.28956,0.66098,0.97111,0.60488,0.56189,0.58007,0.29346,1.573,3.07572,1.09473,0.0097525,0.0097525,0.0097525
27,177.212,1.28642,0.65483,0.97169,0.6569,0.53547,0.53509,0.27332,1.57078,1.56192,1.05484,0.0097426,0.0097426,0.0097426
28,183.738,1.27101,0.65072,0.97548,0.63847,0.59249,0.64275,0.35245,1.37755,2.6823,1.01129,0.0097327,0.0097327,0.0097327
29,190.218,1.24248,0.64293,0.96874,0.75154,0.68153,0.7327,0.4084,1.35736,1.41971,0.99842,0.0097228,0.0097228,0.0097228
30,196.699,1.25265,0.65542,0.95423,0.7642,0.66759,0.71938,0.37194,1.45966,1.1459,1.01796,0.0097129,0.0097129,0.0097129
31,203.142,1.22013,0.6256,0.96409,0.75598,0.63282,0.71752,0.38501,1.40123,1.18426,0.99506,0.009703,0.009703,0.009703
32,209.947,1.24913,0.64024,0.94781,0.77845,0.72879,0.79751,0.43218,1.28235,1.06397,0.9707,0.0096931,0.0096931,0.0096931
33,216.659,1.2257,0.62906,0.95418,0.74183,0.6834,0.77273,0.42092,1.32201,1.2093,0.98572,0.0096832,0.0096832,0.0096832
